X,Y,Z,Speed_kmh
1724.1814,-2165.5720,13.9882,95.5
1716.0580,-2165.5493,14.5006,95.6
1700.0018,-2165.5046,15.7353,95.3
1691.9370,-2164.9707,16.5564,94.5
1676.3823,-2163.4673,18.2132,92.5
1661.1478,-2163.5237,19.9660,90.3
1646.3596,-2162.1511,21.8578,87.7
1632.2010,-2158.4954,23.8040,86.3
1619.1954,-2152.8320,25.7222,84.6
1606.9686,-2145.8469,27.6131,83.4
1595.4327,-2137.7607,29.3729,82.5
1584.3912,-2128.4275,31.0007,82.5
1574.5168,-2118.8799,32.3434,82.7
1565.3435,-2107.7869,33.3422,84.5
1556.4542,-2096.1121,33.8613,87.1
1548.4458,-2083.1018,33.9001,91.2
1541.5714,-2068.7771,33.3739,95.8
1538.3258,-2061.3242,32.7807,98.1
1536.0483,-2052.8674,32.1568,100.3
1534.5535,-2044.7059,31.3199,98.3
1533.2404,-2035.8787,30.4027,102.0
1531.9698,-2027.2578,29.3750,105.7
1531.0625,-2018.5779,28.2849,104.1
1530.7709,-2009.9786,27.1629,102.6
1530.5291,-2001.2207,25.8978,101.4
1530.2731,-1992.8105,24.6935,102.6
1529.9974,-1984.0146,23.4358,104.2
1529.7324,-1974.6685,22.3081,104.5
1529.5341,-1966.0549,21.3303,102.6
1529.3376,-1957.4668,20.2610,100.9
1529.2273,-1949.0580,19.1104,99.5
1529.6675,-1933.7412,17.0994,87.5
1530.0461,-1921.0393,15.4783,85.3
1530.4143,-1908.3518,14.3884,73.8
1530.6056,-1895.9091,13.8994,71.4
1528.5143,-1884.6552,13.4593,65.5
1523.2673,-1874.7593,13.3709,64.6
1514.4792,-1870.5453,13.3693,55.7
1504.2296,-1870.2188,13.3753,64.3
1492.5115,-1870.7819,13.3756,71.9
1479.9948,-1871.3365,13.3751,76.6
1466.5853,-1871.6440,13.3749,81.2
1452.0863,-1871.4241,13.3748,85.7
1437.3119,-1870.9579,13.3750,89.9
1422.3473,-1871.3037,13.3745,90.9
1407.0162,-1871.4227,13.3748,92.5
1391.6085,-1871.3856,13.3729,88.5
1376.7948,-1870.1648,13.3746,90.2
1361.7866,-1866.4432,13.3747,93.7
1347.3467,-1860.5281,13.3730,91.2
1332.2988,-1854.5913,13.3737,89.9
1317.6318,-1852.9731,13.3726,82.5
1303.6292,-1852.8793,13.3735,81.9
1289.4926,-1852.7477,13.3750,86.4
1274.6184,-1852.6130,13.3751,90.7
1259.0663,-1852.4690,13.3749,94.4
1251.0330,-1852.3954,13.3748,95.9
1242.8921,-1852.3204,13.3748,97.3
1234.7454,-1852.2457,13.3743,95.6
1226.7158,-1852.1716,13.3739,96.4
1218.4681,-1852.1754,13.3745,95.7
1202.4044,-1852.2668,13.3760,96.7
1194.2339,-1852.3112,13.3854,98.1
1185.9630,-1852.3556,13.3909,97.3
1170.1952,-1852.4426,13.3880,88.9
1155.6544,-1852.5222,13.3815,87.5
1140.8521,-1852.6038,13.3737,86.2
1126.2734,-1852.6833,13.3744,87.5
1111.8939,-1852.7623,13.3726,82.9
